Java,JAR,C,Comment
./Aprove_09/PastaB11/PastaB11.java,./Aprove_09/PastaB11/PastaB11.jar,./Aprove_09_C/PastaB11.c,
./Aprove_09/CountUpRound/CountUpRound.java,./Aprove_09/CountUpRound/CountUpRound.jar,./Aprove_09_C/CountUpRound.c,
./Aprove_09/DivMinus/DivMinus.java,./Aprove_09/DivMinus/DivMinus.jar,./Aprove_09_C/DivMinus.c,
./Aprove_09/GCD5/GCD5.java,./Aprove_09/GCD5/GCD5.jar,./Aprove_09_C/gcd5.c,
./Aprove_09/LogIterative/LogIterative.java,./Aprove_09/LogIterative/LogIterative.jar,./Aprove_09_C/LogIterative.c,
./Aprove_09/LogMult/LogMult.java,./Aprove_09/LogMult/LogMult.jar,./Aprove_09_C/LogMult.c,
./Aprove_09/LogBuiltIn/LogBuiltIn.java,./Aprove_09/LogBuiltIn/LogBuiltIn.jar,./Aprove_09_C/LogBuiltIn.c,
./Aprove_09/McCarthyIterative/McCarthyIterative.java,./Aprove_09/McCarthyIterative/McCarthyIterative.jar,./Aprove_09_C/McCarthyIterative.c,
./Aprove_09/MinusBuiltIn/MinusBuiltIn.java,./Aprove_09/MinusBuiltIn/MinusBuiltIn.jar,./Aprove_09_C/MinusBuiltIn.c,
./Aprove_09/PastaA1/PastaA1.java,./Aprove_09/PastaA1/PastaA1.jar,./Aprove_09_C/PastaA1.c,
./Aprove_09/PastaA4/PastaA4.java,./Aprove_09/PastaA4/PastaA4.jar,./Aprove_09_C/PastaA4.c,
./Aprove_09/PastaA5/PastaA5.java,./Aprove_09/PastaA5/PastaA5.jar,./Aprove_09_C/PastaA5.c,
./Aprove_09/PastaA6/PastaA6.java,./Aprove_09/PastaA6/PastaA6.jar,./Aprove_09_C/PastaA6.c,
./Aprove_09/PastaA7/PastaA7.java,./Aprove_09/PastaA7/PastaA7.jar,./Aprove_09_C/PastaA7.c,
./Aprove_09/PastaA9/PastaA9.java,./Aprove_09/PastaA9/PastaA9.jar,./Aprove_09_C/PastaA9.c,
./Aprove_09/PastaA10/PastaA10.java,./Aprove_09/PastaA10/PastaA10.jar,./Aprove_09_C/PastaA10.c,
./Aprove_09/PastaB1/PastaB1.java,./Aprove_09/PastaB1/PastaB1.jar,./Aprove_09_C/PastaB1.c,
./Aprove_09/PastaB2/PastaB2.java,./Aprove_09/PastaB2/PastaB2.jar,./Aprove_09_C/PastaB1.c,
./Aprove_09/PastaB3/PastaB3.java,./Aprove_09/PastaB3/PastaB3.jar,./Aprove_09_C/PastaB3.c,
